Flavour,BrewID
Herbed / Spiced Beer,44
Herbed / Spiced Beer,44
Herbed / Spiced Beer,44
Herbed / Spiced Beer,44
Märzen / Oktoberfest,44
Märzen / Oktoberfest,44
Witbier,44
Witbier,44
American Brown Ale,45
American Brown Ale,45
American Brown Ale,45
American Brown Ale,45
American Double / Imperial IPA,45
American Double / Imperial IPA,45
American IPA,45
American IPA,45
American IPA,45
American IPA,45
American Pale Ale (APA),45
American Pale Ale (APA),45
American Pale Wheat Ale,45
American Pale Wheat Ale,45
American Pale Wheat Ale,45
American Pale Wheat Ale,45
American Porter,45
American Porter,45
Extra Special / Strong Bitter (ESB),45
Extra Special / Strong Bitter (ESB),45
German Pilsener,45
German Pilsener,45
Milk / Sweet Stout,45
Milk / Sweet Stout,45
Milk / Sweet Stout,45
Milk / Sweet Stout,45
Oatmeal Stout,45
Oatmeal Stout,45
Saison / Farmhouse Ale,45
Saison / Farmhouse Ale,45
Saison / Farmhouse Ale,45
Saison / Farmhouse Ale,45
Tripel,45
Tripel,45
Tripel,45
Tripel,45
American Brown Ale,46
American Brown Ale,46
American Double / Imperial IPA,46
American Double / Imperial IPA,46
American Double / Imperial IPA,46
American Double / Imperial IPA,46
American IPA,46
American IPA,46
American IPA,46
American IPA,46
American IPA,46
American IPA,46
American IPA,46
American IPA,46
American Pale Ale (APA),46
American Pale Ale (APA),46
American Pale Wheat Ale,46
American Pale Wheat Ale,46
American Stout,46
American Stout,46
American Strong Ale,46
American Strong Ale,46
Baltic Porter,46
Baltic Porter,46
Baltic Porter,46
Baltic Porter,46
Belgian Pale Ale,46
Belgian Pale Ale,46
Cream Ale,46
Cream Ale,46
Cream Ale,46
Cream Ale,46
Fruit / Vegetable Beer,46
Fruit / Vegetable Beer,46
German Pilsener,46
German Pilsener,46
German Pilsener,46
German Pilsener,46
Gose,46
Gose,46
Pumpkin Ale,46
Pumpkin Ale,46
Rye Beer,46
Rye Beer,46
Rye Beer,46
Rye Beer,46
Saison / Farmhouse Ale,46
Saison / Farmhouse Ale,46
American IPA,47
American IPA,47
Berliner Weissbier,47
Berliner Weissbier,47
Berliner Weissbier,47
Berliner Weissbier,47
Berliner Weissbier,47
Berliner Weissbier,47
American Blonde Ale,48
American Blonde Ale,48
American Blonde Ale,48
American Blonde Ale,48
American IPA,48
American IPA,48
American IPA,48
American IPA,48
German Pilsener,48
German Pilsener,48
American IPA,49
American IPA,49
American Pale Ale (APA),49
American Pale Ale (APA),49
German Pilsener,49
German Pilsener,49
Hefeweizen,49
Hefeweizen,49
American IPA,50
American IPA,50
American Porter,50
American Porter,50
American Brown Ale,51
American Brown Ale,51
American Double / Imperial IPA,51
American Double / Imperial IPA,51
American Double / Imperial Stout,51
American Double / Imperial Stout,51
American IPA,51
American IPA,51
American Pale Ale (APA),51
American Pale Ale (APA),51
American White IPA,51
American White IPA,51
American Wild Ale,51
American Wild Ale,51
American Wild Ale,51
American Wild Ale,51
Belgian Pale Ale,51
Belgian Pale Ale,51
English Brown Ale,51
English Brown Ale,51
Foreign / Export Stout,51
Foreign / Export Stout,51
Pumpkin Ale,51
Pumpkin Ale,51
Quadrupel (Quad),51
Quadrupel (Quad),51
Rye Beer,51
Rye Beer,51
Saison / Farmhouse Ale,51
Saison / Farmhouse Ale,51
Vienna Lager,51
Vienna Lager,51
Vienna Lager,51
Vienna Lager,51
Winter Warmer,51
Winter Warmer,51
American Amber / Red Ale,52
American Amber / Red Ale,52
American Blonde Ale,53
American Blonde Ale,53
American Double / Imperial IPA,53
American Double / Imperial IPA,53
English India Pale Ale (IPA),53
English India Pale Ale (IPA),53
American Pale Ale (APA),54
American Pale Ale (APA),54
American Pale Ale (APA),55
American Pale Ale (APA),55
American Pale Ale (APA),56
American Pale Ale (APA),56
Abbey Single Ale,57
Abbey Single Ale,57
Abbey Single Ale,57
Abbey Single Ale,57
American Double / Imperial IPA,57
American Double / Imperial IPA,57
American IPA,57
American IPA,57
Fruit / Vegetable Beer,57
Fruit / Vegetable Beer,57
Gose,57
Gose,57
Hefeweizen,57
Hefeweizen,57
American Double / Imperial IPA,58
American Double / Imperial IPA,58
American Pale Ale (APA),58
American Pale Ale (APA),58
Extra Special / Strong Bitter (ESB),58
Extra Special / Strong Bitter (ESB),58
American Amber / Red Ale,59
American Amber / Red Ale,59
American IPA,59
American IPA,59
English Brown Ale,59
English Brown Ale,59
Hefeweizen,59
Hefeweizen,59
American Amber / Red Ale,60
American Amber / Red Ale,60
American Black Ale,60
American Black Ale,60
American Blonde Ale,60
American Blonde Ale,60
American Brown Ale,60
American Brown Ale,60
American IPA,60
American IPA,60
American IPA,60
American IPA,60
American Pale Wheat Ale,60
American Pale Wheat Ale,60
Berliner Weissbier,60
Berliner Weissbier,60
American Black Ale,61
American Black Ale,61
American Brown Ale,61
American Brown Ale,61
American Brown Ale,61
American Brown Ale,61
American Double / Imperial IPA,61
American Double / Imperial IPA,61
American IPA,61
American IPA,61
American IPA,61
American IPA,61
American IPA,61
American IPA,61
American IPA,61
American IPA,61
English Bitter,61
English Bitter,61
Extra Special / Strong Bitter (ESB),61
Extra Special / Strong Bitter (ESB),61
Keller Bier / Zwickel Bier,61
Keller Bier / Zwickel Bier,61
Rye Beer,61
Rye Beer,61
Saison / Farmhouse Ale,61
Saison / Farmhouse Ale,61
American Brown Ale,62
American Brown Ale,62
American IPA,62
American IPA,62
American Amber / Red Ale,63
American Amber / Red Ale,63
American Amber / Red Ale,63
American Amber / Red Ale,63
American Amber / Red Ale,63
American Amber / Red Ale,63
American Pale Ale (APA),63
American Pale Ale (APA),63
American Pale Ale (APA),63
American Pale Ale (APA),63
American Stout,63
American Stout,63
Belgian Strong Pale Ale,63
Belgian Strong Pale Ale,63
Witbier,63
Witbier,63
Belgian IPA,64
Belgian IPA,64
Tripel,64
Tripel,64
American Double / Imperial IPA,65
American Double / Imperial IPA,65
American IPA,65
American IPA,65
American IPA,65
American IPA,65
American IPA,65
American IPA,65
American Pale Ale (APA),65
American Pale Ale (APA),65
Belgian IPA,65
Belgian IPA,65
Berliner Weissbier,65
Berliner Weissbier,65
Saison / Farmhouse Ale,65
Saison / Farmhouse Ale,65
American Amber / Red Ale,66
American Amber / Red Ale,66
American Brown Ale,66
American Brown Ale,66
American IPA,66
American IPA,66
Berliner Weissbier,66
Berliner Weissbier,66
Munich Helles Lager,66
Munich Helles Lager,66
Witbier,66
Witbier,66
Witbier,66
Witbier,66
NA,66
NA,66
American Amber / Red Ale,67
American Amber / Red Ale,67
American Blonde Ale,67
American Blonde Ale,67
American IPA,67
American IPA,67
American Blonde Ale,68
American Blonde Ale,68
American IPA,68
American IPA,68
American Porter,68
American Porter,68
Belgian IPA,68
Belgian IPA,68
Rye Beer,68
Rye Beer,68
American Blonde Ale,69
American Blonde Ale,69
American IPA,69
American IPA,69
American Porter,69
American Porter,69
American Pale Ale (APA),70
American Pale Ale (APA),70
Altbier,71
Altbier,71
American Double / Imperial IPA,71
American Double / Imperial IPA,71
American Pale Ale (APA),71
American Pale Ale (APA),71
Gose,71
Gose,71
American Blonde Ale,72
American Blonde Ale,72
American Double / Imperial IPA,72
American Double / Imperial IPA,72
American IPA,72
American IPA,72
American Porter,72
American Porter,72
Fruit / Vegetable Beer,72
Fruit / Vegetable Beer,72
Munich Helles Lager,72
Munich Helles Lager,72
